filename,link_text,url,format,effective,rule_number,source_page,source_page_url,rate_class,corpus
2011_All_Fee_Schedules.zip,2011 All Fee Schedules,https://ahca.myflorida.com/content/download/7048/file/2011_All_Fee_Schedules.zip,zip,2011,,Historical Medicaid Reimbursement Schedules,https://ahca.myflorida.com/medicaid/rules/historical-medicaid-reimbursement-schedules.html,fee_schedule_historical,policy
2013_All_Fee_Schedules.zip,2013 All Fee Schedules (Version 2),https://ahca.myflorida.com/content/download/7049/file/2013_All_Fee_Schedules.zip,zip,2013,,Historical Medicaid Reimbursement Schedules,https://ahca.myflorida.com/medicaid/rules/historical-medicaid-reimbursement-schedules.html,fee_schedule_historical,policy
2014_All_Fee_Schedules.zip,2014 All Fee Schedules,https://ahca.myflorida.com/content/download/7050/file/2014_All_Fee_Schedules.zip,zip,2014,,Historical Medicaid Reimbursement Schedules,https://ahca.myflorida.com/medicaid/rules/historical-medicaid-reimbursement-schedules.html,fee_schedule_historical,policy
2015_All_Fee_Schedules.zip,2015 All Fee Schedules,https://ahca.myflorida.com/content/download/7051/file/2015_All_Fee_Schedules.zip,zip,2015,,Historical Medicaid Reimbursement Schedules,https://ahca.myflorida.com/medicaid/rules/historical-medicaid-reimbursement-schedules.html,fee_schedule_historical,policy
2016_All_Fee_Schedules.zip,2016 All Fee Schedules,https://ahca.myflorida.com/content/download/7052/file/2016_All_Fee_Schedules.zip,zip,2016,,Historical Medicaid Reimbursement Schedules,https://ahca.myflorida.com/medicaid/rules/historical-medicaid-reimbursement-schedules.html,fee_schedule_historical,policy
2017_All_Fee_Schedules.zip,2017 All Fee Schedules,https://ahca.myflorida.com/content/download/7053/file/2017_All_Fee_Schedules.zip,zip,2017,,Historical Medicaid Reimbursement Schedules,https://ahca.myflorida.com/medicaid/rules/historical-medicaid-reimbursement-schedules.html,fee_schedule_historical,policy
2018_All_Fee_Schedules.zip,2018 All Fee Schedules,https://ahca.myflorida.com/content/download/7054/file/2018_All_Fee_Schedules.zip,zip,2018,,Historical Medicaid Reimbursement Schedules,https://ahca.myflorida.com/medicaid/rules/historical-medicaid-reimbursement-schedules.html,fee_schedule_historical,policy
2019_All_Fee_Schedules.zip,2019 All Fee Schedules,https://ahca.myflorida.com/content/download/7055/file/2019_All_Fee_Schedules.zip,zip,2019,,Historical Medicaid Reimbursement Schedules,https://ahca.myflorida.com/medicaid/rules/historical-medicaid-reimbursement-schedules.html,fee_schedule_historical,policy
2020_All_Fee_Schedules.zip,2020 All Fee Schedules,https://ahca.myflorida.com/content/download/7056/file/2020_All_Fee_Schedules.zip,zip,2020,,Historical Medicaid Reimbursement Schedules,https://ahca.myflorida.com/medicaid/rules/historical-medicaid-reimbursement-schedules.html,fee_schedule_historical,policy
2021_All_Fee_Schedules.zip,2021 All Fee Schedules,https://ahca.myflorida.com/content/download/19974/file/2021_All_Fee_Schedules.zip,zip,2021,,Historical Medicaid Reimbursement Schedules,https://ahca.myflorida.com/medicaid/rules/historical-medicaid-reimbursement-schedules.html,fee_schedule_historical,policy
2022 Fee Schedules and Billing Codes.zip,2022 All Fee Schedules,https://ahca.myflorida.com/content/download/23801/file/2022%20Fee%20Schedules%20and%20Billing%20Codes.zip,zip,2022,,Historical Medicaid Reimbursement Schedules,https://ahca.myflorida.com/medicaid/rules/historical-medicaid-reimbursement-schedules.html,fee_schedule_historical,policy
2023_All_Fee_Schedules.zip,2023 All Fee Schedules,https://ahca.myflorida.com/content/download/25309/file/2023_All_Fee_Schedules.zip,zip,2023,,Historical Medicaid Reimbursement Schedules,https://ahca.myflorida.com/medicaid/rules/historical-medicaid-reimbursement-schedules.html,fee_schedule_historical,policy
2024 All Fee Schedules.zip,2024 All Fee Schedules,https://ahca.myflorida.com/content/download/27052/file/2024%20All%20Fee%20Schedules.zip,zip,2024,,Historical Medicaid Reimbursement Schedules,https://ahca.myflorida.com/medicaid/rules/historical-medicaid-reimbursement-schedules.html,fee_schedule_historical,policy
All-January-2006.zip,2006 All Fee Schedules,https://ahca.myflorida.com/content/download/7057/file/All-January-2006.zip,zip,2006,,Historical Medicaid Reimbursement Schedules,https://ahca.myflorida.com/medicaid/rules/historical-medicaid-reimbursement-schedules.html,fee_schedule_historical,policy
All_2007_Fee_Schedules.zip,2007 All Fee Schedules,https://ahca.myflorida.com/content/download/7058/file/All_2007_Fee_Schedules.zip,zip,2007,,Historical Medicaid Reimbursement Schedules,https://ahca.myflorida.com/medicaid/rules/historical-medicaid-reimbursement-schedules.html,fee_schedule_historical,policy
All_Current_2012.zip,2012 All Fee Schedules,https://ahca.myflorida.com/content/download/7059/file/All_Current_2012.zip,zip,2012,,Historical Medicaid Reimbursement Schedules,https://ahca.myflorida.com/medicaid/rules/historical-medicaid-reimbursement-schedules.html,fee_schedule_historical,policy
FS_08_081001_All_Archived_Fee_Schedules_ver1.9.zip,2008 All Fee Schedules,https://ahca.myflorida.com/content/download/7060/file/FS_08_081001_All_Archived_Fee_Schedules_ver1.9.zip,zip,2008,,Historical Medicaid Reimbursement Schedules,https://ahca.myflorida.com/medicaid/rules/historical-medicaid-reimbursement-schedules.html,fee_schedule_historical,policy
FS_10_100714_All_Archived_Fee_Schedules_ver1.0.zip,2010 All Fee Schedules,https://ahca.myflorida.com/content/download/7061/file/FS_10_100714_All_Archived_Fee_Schedules_ver1.0.zip,zip,2010,,Historical Medicaid Reimbursement Schedules,https://ahca.myflorida.com/medicaid/rules/historical-medicaid-reimbursement-schedules.html,fee_schedule_historical,policy
FS_2009_All_Fee_Schedules_ver1.0.zip,2009 All Fee Schedules,https://ahca.myflorida.com/content/download/7062/file/FS_2009_All_Fee_Schedules_ver1.0.zip,zip,2009,,Historical Medicaid Reimbursement Schedules,https://ahca.myflorida.com/medicaid/rules/historical-medicaid-reimbursement-schedules.html,fee_schedule_historical,policy
59G-1.010 Definitions Policy.pdf,Definitions,https://ahca.myflorida.com/content/download/24713/file/59G-1.010%20Definitions%20Policy.pdf,pdf,,59G-1.010,Adopted Rules – General Policies,https://ahca.myflorida.com/medicaid/rules/adopted-rules-general-policies.html,policy_general,policy
59G-1.050_General_Medicaid_Policy.pdf,General Medicaid Policy,https://ahca.myflorida.com/content/download/5921/file/59G-1.050_General_Medicaid_Policy.pdf,pdf,,59G-1.050,Adopted Rules – General Policies,https://ahca.myflorida.com/medicaid/rules/adopted-rules-general-policies.html,policy_general,policy
59G-1.058.pdf,Eligibility,https://ahca.myflorida.com/content/download/28292/file/59G-1.058.pdf,pdf,,59G-1.058,Adopted Rules – General Policies,https://ahca.myflorida.com/medicaid/rules/adopted-rules-general-policies.html,policy_general,policy
59G-1.100_Medicaid_Fair_Hearings.pdf,Florida Medicaid Fair Hearings,https://ahca.myflorida.com/content/download/5924/file/59G-1.100_Medicaid_Fair_Hearings.pdf,pdf,,59G-1.100,Adopted Rules – General Policies,https://ahca.myflorida.com/medicaid/rules/adopted-rules-general-policies.html,policy_general,policy
59G_1020_DEFINITION_COUNTY_OF_RESIDENCE.pdf,Definition of County of Residence,https://ahca.myflorida.com/content/download/7007/file/59G_1020_DEFINITION_COUNTY_OF_RESIDENCE.pdf,pdf,,,Adopted Rules – General Policies,https://ahca.myflorida.com/medicaid/rules/adopted-rules-general-policies.html,policy_general,policy
59G_1035_Determining_Generally_Accepted_Professional_Medical_Standards.pdf,Determining Generally Accepted Professional Medical Standards,https://ahca.myflorida.com/content/download/5926/file/59G_1035_Determining_Generally_Accepted_Professional_Medical_Standards.pdf,pdf,,,Adopted Rules – General Policies,https://ahca.myflorida.com/medicaid/rules/adopted-rules-general-policies.html,policy_general,policy
59G_1036_Clinical_Trials.pdf,Clinical Trials,https://ahca.myflorida.com/content/download/7008/file/59G_1036_Clinical_Trials.pdf,pdf,,,Adopted Rules – General Policies,https://ahca.myflorida.com/medicaid/rules/adopted-rules-general-policies.html,policy_general,policy
59G_1040_PASRR.pdf,Pre-Admission Screening and Resident Review,https://ahca.myflorida.com/content/download/5927/file/59G_1040_PASRR.pdf,pdf,,,Adopted Rules – General Policies,https://ahca.myflorida.com/medicaid/rules/adopted-rules-general-policies.html,policy_general,policy
59G_1045_MEDICAID_FORMS.pdf,Medicaid Forms,https://ahca.myflorida.com/content/download/5928/file/59G_1045_MEDICAID_FORMS.pdf,pdf,,,Adopted Rules – General Policies,https://ahca.myflorida.com/medicaid/rules/adopted-rules-general-policies.html,policy_general,policy
59G_1052_TPL_Requirements.pdf,Third Party Liability Requirements,https://ahca.myflorida.com/content/download/5929/file/59G_1052_TPL_Requirements.pdf,pdf,,,Adopted Rules – General Policies,https://ahca.myflorida.com/medicaid/rules/adopted-rules-general-policies.html,policy_general,policy
59G_1053_Authorization_Requirements_Coverage_Policy.pdf,Authorization Requirements,https://ahca.myflorida.com/content/download/7009/file/59G_1053_Authorization_Requirements_Coverage_Policy.pdf,pdf,,,Adopted Rules – General Policies,https://ahca.myflorida.com/medicaid/rules/adopted-rules-general-policies.html,policy_general,policy
59G_1054_Recordkeeping_Documentation_Requirements_FINAL.pdf,Recordkeeping and Documentation Requirements,https://ahca.myflorida.com/content/download/5930/file/59G_1054_Recordkeeping_Documentation_Requirements_FINAL.pdf,pdf,,,Adopted Rules – General Policies,https://ahca.myflorida.com/medicaid/rules/adopted-rules-general-policies.html,policy_general,policy
59G_1056_Copayments_Coinsurance.pdf,Copayments and Coinsurance,https://ahca.myflorida.com/content/download/7010/file/59G_1056_Copayments_Coinsurance.pdf,pdf,,,Adopted Rules – General Policies,https://ahca.myflorida.com/medicaid/rules/adopted-rules-general-policies.html,policy_general,policy
59G_1057_TELEMEDICINE.pdf,Telemedicine,https://ahca.myflorida.com/content/download/7011/file/59G_1057_TELEMEDICINE.pdf,pdf,,,Adopted Rules – General Policies,https://ahca.myflorida.com/medicaid/rules/adopted-rules-general-policies.html,policy_general,policy
59G_5020_Provider_General_REQUIREMENTS.pdf,Provider Requirements,https://ahca.myflorida.com/content/download/7012/file/59G_5020_Provider_General_REQUIREMENTS.pdf,pdf,,,Adopted Rules – General Policies,https://ahca.myflorida.com/medicaid/rules/adopted-rules-general-policies.html,policy_general,policy
59G_7003_Medicaid_Third_Party_Liability_Responsibility_Notices.pdf,Medicaid Third Party Liability Responsibility and Notices,https://ahca.myflorida.com/content/download/5931/file/59G_7003_Medicaid_Third_Party_Liability_Responsibility_Notices.pdf,pdf,,,Adopted Rules – General Policies,https://ahca.myflorida.com/medicaid/rules/adopted-rules-general-policies.html,policy_general,policy
"59G_9070_Admin_Sanctions_on_Providers,_Entities_Persons.pdf","Administrative Sanctions on Providers, Entities, and Persons",https://ahca.myflorida.com/content/download/7013/file/59G_9070_Admin_Sanctions_on_Providers%2C_Entities_Persons.pdf,pdf,,,Adopted Rules – General Policies,https://ahca.myflorida.com/medicaid/rules/adopted-rules-general-policies.html,policy_general,policy
Preadmission_Screen_and_Resident_Review_PASRR_Level_I_Form.pdf,Preadmission Screening and Resident Review Level I Screen,https://ahca.myflorida.com/content/download/5276/file/Preadmission_Screen_and_Resident_Review_PASRR_Level_I_Form.pdf,pdf,,,Adopted Rules – General Policies,https://ahca.myflorida.com/medicaid/rules/adopted-rules-general-policies.html,policy_general,policy
Preadmission_Screen_and_Resident_Review_PASRR_Resident_Review_Evaluation_Request_Form.pdf,Preadmission Screening and Resident Review - Evaluation Request,https://ahca.myflorida.com/content/download/5277/file/Preadmission_Screen_and_Resident_Review_PASRR_Resident_Review_Evaluation_Request_Form.pdf,pdf,,,Adopted Rules – General Policies,https://ahca.myflorida.com/medicaid/rules/adopted-rules-general-policies.html,policy_general,policy
Provider Enrollment Policy.pdf,Provider Enrollment Policy,https://ahca.myflorida.com/content/download/28712/file/Provider%20Enrollment%20Policy.pdf,pdf,,,Adopted Rules – General Policies,https://ahca.myflorida.com/medicaid/rules/adopted-rules-general-policies.html,policy_general,policy
59G-4.085 EIS POLICY.pdf,Draft Policy,https://ahca.myflorida.com/content/download/26813/file/59G-4.085%20EIS%20POLICY.pdf,pdf,,59G-4.085,Rules in Process,https://ahca.myflorida.com/medicaid/rules/rules-in-process.html,policy_in_process,policy
59G-4.130 Home Health Visit Services Coverage Policy.pdf,Draft Policy,https://ahca.myflorida.com/content/download/28392/file/59G-4.130%20Home%20Health%20Visit%20Services%20Coverage%20Policy.pdf,pdf,,59G-4.130,Rules in Process,https://ahca.myflorida.com/medicaid/rules/rules-in-process.html,policy_in_process,policy
59G-4.252 Diabetic Supply Services Coverage Policy.pdf,Draft Policy,https://ahca.myflorida.com/content/download/27649/file/59G-4.252%20Diabetic%20Supply%20Services%20Coverage%20Policy.pdf,pdf,,59G-4.252,Rules in Process,https://ahca.myflorida.com/medicaid/rules/rules-in-process.html,policy_in_process,policy
59G-4.261 Private Duty Nursing Services Coverage Policy.pdf,Draft Policy,https://ahca.myflorida.com/content/download/26983/file/59G-4.261%20Private%20Duty%20Nursing%20Services%20Coverage%20Policy.pdf,pdf,,59G-4.261,Rules in Process,https://ahca.myflorida.com/medicaid/rules/rules-in-process.html,policy_in_process,policy
59G-4.261 Private Duty Nursing Services.pdf,Draft Policy&nbsp;,https://ahca.myflorida.com/content/download/28265/file/59G-4.261%20Private%20Duty%20Nursing%20Services.pdf,pdf,,59G-4.261,Rules in Process,https://ahca.myflorida.com/medicaid/rules/rules-in-process.html,policy_in_process,policy
Florida Medicaid Case Management Services Coverage Policy.pdf,Draft Policy,https://ahca.myflorida.com/content/download/28557/file/Florida%20Medicaid%20Case%20Management%20Services%20Coverage%20Policy.pdf,pdf,,,Rules in Process,https://ahca.myflorida.com/medicaid/rules/rules-in-process.html,policy_in_process,policy
Florida Medicaid Reproductive Services Coverage Policy_ draft.pdf,Draft Policy,https://ahca.myflorida.com/content/download/28693/file/Florida%20Medicaid%20Reproductive%20Services%20Coverage%20Policy_%20draft.pdf,pdf,,,Rules in Process,https://ahca.myflorida.com/medicaid/rules/rules-in-process.html,policy_in_process,policy
Florida_Medicaid_Hearing_Services_Coverage_Policy.pdf,Draft Policy,https://ahca.myflorida.com/file/medicaid/Florida_Medicaid_Hearing_Services_Coverage_Policy.pdf,pdf,,,Rules in Process,https://ahca.myflorida.com/medicaid/rules/rules-in-process.html,policy_in_process,policy
Rulemaking Template Agenda.pdf,Agenda,https://ahca.myflorida.com/content/download/7018/file/Rulemaking%20Template%20Agenda.pdf,pdf,,,Rules in Process,https://ahca.myflorida.com/medicaid/rules/rules-in-process.html,policy_in_process,policy
59G-14.001_KidCare_Disp_and_Griev_Process.pdf,Florida Kidcare Dispute Review and Grievance Process,https://ahca.myflorida.com/content/download/7014/file/59G-14.001_KidCare_Disp_and_Griev_Process.pdf,pdf,,59G-14.001,Adopted Rules – Other Policies,https://ahca.myflorida.com/medicaid/rules/adopted-rules-other-policies.html,policy_other,policy
59G-7.007_Hlth_Ins_Prem_Prgm.pdf,Health Insurance Premium Payment Program,https://ahca.myflorida.com/content/download/7015/file/59G-7.007_Hlth_Ins_Prem_Prgm.pdf,pdf,,59G-7.007,Adopted Rules – Other Policies,https://ahca.myflorida.com/medicaid/rules/adopted-rules-other-policies.html,policy_other,policy
59G-7.0211_Exchange_of_Medical_Data_with_Health_Insurers.pdf,Exchange of Medicaid Data with Health Insurers,https://ahca.myflorida.com/content/download/7016/file/59G-7.0211_Exchange_of_Medical_Data_with_Health_Insurers.pdf,pdf,,59G-7.0211,Adopted Rules – Other Policies,https://ahca.myflorida.com/medicaid/rules/adopted-rules-other-policies.html,policy_other,policy
59G-8.800_Financial_Comp_Audits.pdf,Financial Compliance Audits of Medicaid Prepaid Plans,https://ahca.myflorida.com/content/download/7017/file/59G-8.800_Financial_Comp_Audits.pdf,pdf,,59G-8.800,Adopted Rules – Other Policies,https://ahca.myflorida.com/medicaid/rules/adopted-rules-other-policies.html,policy_other,policy
59G-1.001_Purpose.pdf,Purpose,https://ahca.myflorida.com/content/download/7019/file/59G-1.001_Purpose.pdf,pdf,,59G-1.001,Adopted Rules – Reimbursement Policies,https://ahca.myflorida.com/medicaid/rules/adopted-rules-reimbursement-policies.html,policy_reimbursement,policy
59G-13.080_HCBS_Waivers.pdf,Home and Community-Based Services Waivers,https://ahca.myflorida.com/content/download/7020/file/59G-13.080_HCBS_Waivers.pdf,pdf,,59G-13.080,Adopted Rules – Reimbursement Policies,https://ahca.myflorida.com/medicaid/rules/adopted-rules-reimbursement-policies.html,policy_reimbursement,policy
59G-4.251 Prescribed Drugs Reimbursement Methodology.pdf,Prescribed Drugs Reimbursement Methodology,https://ahca.myflorida.com/file/medicaid/59G-4.251%20Prescribed%20Drugs%20Reimbursement%20Methodology.pdf,pdf,,59G-4.251,Adopted Rules – Reimbursement Policies,https://ahca.myflorida.com/medicaid/rules/adopted-rules-reimbursement-policies.html,policy_reimbursement,policy
59G-5.110_Direct_Reimb.pdf,Direct Reimbursement to Recipients,https://ahca.myflorida.com/content/download/7022/file/59G-5.110_Direct_Reimb.pdf,pdf,,59G-5.110,Adopted Rules – Reimbursement Policies,https://ahca.myflorida.com/medicaid/rules/adopted-rules-reimbursement-policies.html,policy_reimbursement,policy
59G-6.005_Reimb_Med_School_Faculty.pdf,Reimbursement Methodology for Services Provided by Medical School Faculty,https://ahca.myflorida.com/content/download/7023/file/59G-6.005_Reimb_Med_School_Faculty.pdf,pdf,,59G-6.005,Adopted Rules – Reimbursement Policies,https://ahca.myflorida.com/medicaid/rules/adopted-rules-reimbursement-policies.html,policy_reimbursement,policy
59G-6.009.pdf,TEACH,https://ahca.myflorida.com/content/download/27459/file/59G-6.009.pdf,pdf,,59G-6.009,Adopted Rules – Reimbursement Policies,https://ahca.myflorida.com/medicaid/rules/adopted-rules-reimbursement-policies.html,policy_reimbursement,policy
59G-6.010.doc,Payment Methodology for Nursing Home Services,https://ahca.myflorida.com/file/medicaid/59G-6.010.doc,doc,,59G-6.010,Adopted Rules – Reimbursement Policies,https://ahca.myflorida.com/medicaid/rules/adopted-rules-reimbursement-policies.html,policy_reimbursement,policy
59G-6.020_Inpatient_Services_2018.pdf,Payment Methodology for Inpatient Hospital Services,https://ahca.myflorida.com/content/download/7025/file/59G-6.020_Inpatient_Services_2018.pdf,pdf,2018,59G-6.020,Adopted Rules – Reimbursement Policies,https://ahca.myflorida.com/medicaid/rules/adopted-rules-reimbursement-policies.html,policy_reimbursement,policy
59G-6.025_Reimburse_Mthd_Cancer_Hosp.pdf,Reimbursement Methodology for Cancer Hospitals,https://ahca.myflorida.com/content/download/7040/file/59G-6.025_Reimburse_Mthd_Cancer_Hosp.pdf,pdf,,59G-6.025,Adopted Rules – Reimbursement Policies,https://ahca.myflorida.com/medicaid/rules/adopted-rules-reimbursement-policies.html,policy_reimbursement,policy
59G-6.031_EnhancedAmbulatoryPatiemtGroupingReimbursementMethodology.pdf,Enhanced Ambulatory Patient Grouping Reimbursement Methodology for Hospital Outpatient Services and Ambulatory Surgical Centers,https://ahca.myflorida.com/content/download/7026/file/59G-6.031_EnhancedAmbulatoryPatiemtGroupingReimbursementMethodology.pdf,pdf,,59G-6.031,Adopted Rules – Reimbursement Policies,https://ahca.myflorida.com/medicaid/rules/adopted-rules-reimbursement-policies.html,policy_reimbursement,policy
59G-6.040_ICF_MRDD_Publicly_Owned_Operated.pdf,Payment Methodology for ICF/MR-DD Services in Publicly Owned and Publicly Operated Facilities,https://ahca.myflorida.com/content/download/7027/file/59G-6.040_ICF_MRDD_Publicly_Owned_Operated.pdf,pdf,,59G-6.040,Adopted Rules – Reimbursement Policies,https://ahca.myflorida.com/medicaid/rules/adopted-rules-reimbursement-policies.html,policy_reimbursement,policy
59G-6.045_Adopted_RuleText.pdf,Payment Methodology for Services in Facilities Not Publicly Owned and Not Publicly Operated,https://ahca.myflorida.com/content/download/7028/file/59G-6.045_Adopted_RuleText.pdf,pdf,,59G-6.045,Adopted Rules – Reimbursement Policies,https://ahca.myflorida.com/medicaid/rules/adopted-rules-reimbursement-policies.html,policy_reimbursement,policy
59G-6.090_County_Health_Department_Reimbursement.pdf,Payment Methodology for County Health Departments,https://ahca.myflorida.com/content/download/7029/file/59G-6.090_County_Health_Department_Reimbursement.pdf,pdf,,59G-6.090,Adopted Rules – Reimbursement Policies,https://ahca.myflorida.com/medicaid/rules/adopted-rules-reimbursement-policies.html,policy_reimbursement,policy
69G-6.030_Outpatient_Hospital_Reimbursement_Plan.pdf,Payment Methodology for Outpatient Hospital Services,https://ahca.myflorida.com/content/download/7030/file/69G-6.030_Outpatient_Hospital_Reimbursement_Plan.pdf,pdf,,,Adopted Rules – Reimbursement Policies,https://ahca.myflorida.com/medicaid/rules/adopted-rules-reimbursement-policies.html,policy_reimbursement,policy
Developmental Disabilities Individual Budgeting Waiver Services Provider Rate Table.xlsx,Developmental Disabilities Individual Budgeting Waiver Services Provider Rate Table,https://ahca.myflorida.com/file/medicaid/Developmental%20Disabilities%20Individual%20Budgeting%20Waiver%20Services%20Provider%20Rate%20Table.xlsx,xlsx,,,Adopted Rules – Reimbursement Policies,https://ahca.myflorida.com/medicaid/rules/adopted-rules-reimbursement-policies.html,policy_reimbursement,policy
RH_08_080701_CMS-1500_ver1_4.pdf,Medicaid Providers Who Bill on the CMS-1500,https://ahca.myflorida.com/content/download/7031/file/RH_08_080701_CMS-1500_ver1_4.pdf,pdf,,,Adopted Rules – Reimbursement Policies,https://ahca.myflorida.com/medicaid/rules/adopted-rules-reimbursement-policies.html,policy_reimbursement,policy
RH_08_080701_UB-04_ver1_3.pdf,Medicaid Providers Who Bill on the UB-04,https://ahca.myflorida.com/content/download/7032/file/RH_08_080701_UB-04_ver1_3.pdf,pdf,,,Adopted Rules – Reimbursement Policies,https://ahca.myflorida.com/medicaid/rules/adopted-rules-reimbursement-policies.html,policy_reimbursement,policy
5000-0025-Model_Waiver_Physician_Referral_at_Risk_Hospitalization.pdf,Model Waiver Physician Referral for Individuals at Risk of Hospitalization,https://ahca.myflorida.com/content/download/5915/file/5000-0025-Model_Waiver_Physician_Referral_at_Risk_Hospitalization.pdf,pdf,,,Adopted Rules,https://ahca.myflorida.com/medicaid/rules/adopted-rules.html,policy_rule,policy
5000-3511_final.pdf,Authorization For Comprehensive Behavioral Health Assessment,https://ahca.myflorida.com/content/download/6966/file/5000-3511_final.pdf,pdf,,,Adopted Rules,https://ahca.myflorida.com/medicaid/rules/adopted-rules.html,policy_rule,policy
5000-3512_final.pdf,Comprehensive Behavioral Health Assessment Agency and Practitioner Self-Certification,https://ahca.myflorida.com/content/download/6967/file/5000-3512_final.pdf,pdf,,,Adopted Rules,https://ahca.myflorida.com/medicaid/rules/adopted-rules.html,policy_rule,policy
5000-3513_final.pdf,Specialized Therapeutic Foster Care Provider Agency Self-Certification,https://ahca.myflorida.com/content/download/6968/file/5000-3513_final.pdf,pdf,,,Adopted Rules,https://ahca.myflorida.com/medicaid/rules/adopted-rules.html,policy_rule,policy
5000-3514_final.pdf,Authorization for Specialized Therapeutic Foster Care,https://ahca.myflorida.com/content/download/6969/file/5000-3514_final.pdf,pdf,,,Adopted Rules,https://ahca.myflorida.com/medicaid/rules/adopted-rules.html,policy_rule,policy
5000-3515_final.pdf,Authorization for Crisis Intervention,https://ahca.myflorida.com/content/download/6970/file/5000-3515_final.pdf,pdf,,,Adopted Rules,https://ahca.myflorida.com/medicaid/rules/adopted-rules.html,policy_rule,policy
5000-3519_final.pdf,Provider Agency Acknowledgement for Therapeutic Group Care,https://ahca.myflorida.com/content/download/6971/file/5000-3519_final.pdf,pdf,,,Adopted Rules,https://ahca.myflorida.com/medicaid/rules/adopted-rules.html,policy_rule,policy
5000-3521_final.pdf,Authorization for Therapeutic Group Care Services,https://ahca.myflorida.com/content/download/6972/file/5000-3521_final.pdf,pdf,,,Adopted Rules,https://ahca.myflorida.com/medicaid/rules/adopted-rules.html,policy_rule,policy
5000-3522_final_to_ss.pdf,Certification of Eligibility,https://ahca.myflorida.com/content/download/6973/file/5000-3522_final_to_ss.pdf,pdf,,,Adopted Rules,https://ahca.myflorida.com/medicaid/rules/adopted-rules.html,policy_rule,policy
5000-3523_final_to_ss.pdf,Provider Agency Self-Certification,https://ahca.myflorida.com/content/download/6974/file/5000-3523_final_to_ss.pdf,pdf,,,Adopted Rules,https://ahca.myflorida.com/medicaid/rules/adopted-rules.html,policy_rule,policy
Adult_Cystic_Fibrosis_Physician_Referral.pdf,Adults with Cystic Fibrosis Physician Referral for Individuals at Risk for Hospitalization,https://ahca.myflorida.com/content/download/5918/file/Adult_Cystic_Fibrosis_Physician_Referral.pdf,pdf,,,Adopted Rules,https://ahca.myflorida.com/medicaid/rules/adopted-rules.html,policy_rule,policy
AHCA MedServ Form 022 April 2024 Final.pdf,Agency Certification Children's Mental Health Targeted Case Management,https://ahca.myflorida.com/content/download/28714/file/AHCA%20MedServ%20Form%20022%20April%202024%20Final.pdf,pdf,2024,,Adopted Rules,https://ahca.myflorida.com/medicaid/rules/adopted-rules.html,policy_rule,policy
AHCA MedServ Form 023 April 2024 Final.pdf,Agency Certification Adult Mental Health Targeted Case Management,https://ahca.myflorida.com/content/download/28715/file/AHCA%20MedServ%20Form%20023%20April%202024%20Final.pdf,pdf,2024,,Adopted Rules,https://ahca.myflorida.com/medicaid/rules/adopted-rules.html,policy_rule,policy
AHCA MedServ Form 024 April 2024 Final.pdf,Agency Certification Intensive Case Management Team Services Adult Mental Health Targeted Case Management,https://ahca.myflorida.com/content/download/28716/file/AHCA%20MedServ%20Form%20024%20April%202024%20Final.pdf,pdf,2024,,Adopted Rules,https://ahca.myflorida.com/medicaid/rules/adopted-rules.html,policy_rule,policy
AHCA_5240-006_Unborn_Activation_2017.pdf,Unborn Activation Form,https://ahca.myflorida.com/content/download/5916/file/AHCA_5240-006_Unborn_Activation_2017.pdf,pdf,2017,,Adopted Rules,https://ahca.myflorida.com/medicaid/rules/adopted-rules.html,policy_rule,policy
AIDS_Physician_Referral.pdf,Acquired Immune Deficiency Syndrome (AIDS) Physician Referral for Individuals at Risk of Hospitalization,https://ahca.myflorida.com/content/download/5917/file/AIDS_Physician_Referral.pdf,pdf,,,Adopted Rules,https://ahca.myflorida.com/medicaid/rules/adopted-rules.html,policy_rule,policy
Appendix_B_Agency_Cert_Children_MHTCM.pdf,Agency Certification Children’s Mental Health Targeted Case Management,https://ahca.myflorida.com/content/download/6975/file/Appendix_B_Agency_Cert_Children_MHTCM.pdf,pdf,,,Adopted Rules,https://ahca.myflorida.com/medicaid/rules/adopted-rules.html,policy_rule,policy
Appendix_C_Agency_Cert_Adult_MHTCM.pdf,Agency Certification Adult Mental Health Targeted Case Management,https://ahca.myflorida.com/content/download/6976/file/Appendix_C_Agency_Cert_Adult_MHTCM.pdf,pdf,,,Adopted Rules,https://ahca.myflorida.com/medicaid/rules/adopted-rules.html,policy_rule,policy
Appendix_D_Agency_Cert_Intensive_Adult_MHTCM.pdf,Agency Certification Intensive Case Management Team Services Adult Mental Health Targeted Case Management,https://ahca.myflorida.com/content/download/6977/file/Appendix_D_Agency_Cert_Intensive_Adult_MHTCM.pdf,pdf,,,Adopted Rules,https://ahca.myflorida.com/medicaid/rules/adopted-rules.html,policy_rule,policy
Appendix_E_CM_Sup_Cert_Children_MHTCM.pdf,Case Management Supervisor Certification Children’s Mental Health Targeted Case Management,https://ahca.myflorida.com/content/download/6978/file/Appendix_E_CM_Sup_Cert_Children_MHTCM.pdf,pdf,,,Adopted Rules,https://ahca.myflorida.com/medicaid/rules/adopted-rules.html,policy_rule,policy
Appendix_F_CM_Sup_Cert_Adult_MHTCM.pdf,Case Management Supervisor Certification Adult Mental Health Targeted Case Management,https://ahca.myflorida.com/content/download/6979/file/Appendix_F_CM_Sup_Cert_Adult_MHTCM.pdf,pdf,,,Adopted Rules,https://ahca.myflorida.com/medicaid/rules/adopted-rules.html,policy_rule,policy
